day,listings_count
2025-10-01,1
2025-10-02,1
2025-10-03,3
2025-10-08,1
2025-10-10,1
2025-10-14,4
2025-10-15,1
2025-10-17,1
2025-10-24,2
2025-10-25,1
2025-10-26,1
2025-11-02,1
2025-11-06,1
2025-11-07,3
2025-11-09,1
2025-11-10,3
2025-11-17,3
2025-11-19,1
2025-11-22,2
2025-11-24,1
2025-11-26,1
2025-11-27,1
2025-12-02,1
2025-12-03,1
2025-12-05,1
2025-12-06,2
2025-12-07,1
2025-12-09,1
2025-12-10,2
2025-12-11,2
2025-12-15,1
2025-12-17,1
2025-12-20,1
2025-12-26,1
2025-12-28,1
2026-01-04,1
2026-01-06,1
2026-01-09,1
2026-01-10,1
2026-01-11,2
2026-01-12,3
2026-01-17,1
2026-01-19,1
2026-01-20,2
2026-01-22,1
2026-01-26,1
2026-01-29,2
2026-01-30,1
2026-02-02,2
2026-02-08,1
2026-02-09,1
2026-02-12,2
2026-02-14,1
2026-02-15,1
2026-02-16,2
2026-02-18,1
2026-02-20,1
2026-02-21,1
2026-02-24,1
2026-02-25,2
2026-03-05,3
2026-03-07,1
2026-03-09,2
2026-03-11,1
2026-03-16,1
2026-03-18,1
2026-03-19,1
2026-03-20,2
2026-03-21,1
2026-03-22,2
